stage,epoch,train_loss,val_loss,is_best
pretrain_ae1,1,0.463257,,0
pretrain_ae1,2,0.446439,,0
pretrain_ae1,3,0.445574,,0
pretrain_ae1,4,0.445317,,0
pretrain_ae1,5,0.445162,,0
pretrain_ae1,6,0.445055,,0
pretrain_ae1,7,0.444984,,0
pretrain_ae1,8,0.444933,,0
pretrain_ae1,9,0.444895,,0
pretrain_ae1,10,0.444863,,0
pretrain_ae2,1,0.595295,,0
pretrain_ae2,2,0.583013,,0
pretrain_ae2,3,0.582570,,0
pretrain_ae2,4,0.582429,,0
pretrain_ae2,5,0.582355,,0
pretrain_ae2,6,0.582314,,0
pretrain_ae2,7,0.582285,,0
pretrain_ae2,8,0.582263,,0
pretrain_ae2,9,0.582245,,0
pretrain_ae2,10,0.582232,,0
finetune,1,0.563346,0.535810,1
finetune,2,0.536315,0.529020,1
finetune,3,0.531581,0.526354,1
finetune,4,0.529296,0.525009,1
finetune,5,0.527915,0.524396,1
finetune,6,0.526972,0.523558,1
finetune,7,0.526262,0.523144,1
finetune,8,0.525713,0.522746,1
finetune,9,0.525277,0.522386,1
finetune,10,0.524908,0.521998,1
finetune,11,0.524593,0.521947,1
finetune,12,0.524320,0.521986,0
finetune,13,0.524089,0.521663,1
finetune,14,0.523858,0.521510,1
finetune,15,0.523662,0.521660,0
finetune,16,0.523484,0.521435,1
finetune,17,0.523312,0.521391,1
finetune,18,0.523169,0.521142,1
finetune,19,0.523034,0.520879,1
finetune,20,0.522900,0.520746,1
