epoch,train_mse,val_mse,is_best
1,0.052136,0.013008,1
2,0.008164,0.008174,1
3,0.007994,0.008058,1
4,0.007823,0.008262,0
5,0.007815,0.008072,0
6,0.007806,0.007876,1
7,0.007605,0.007819,1
8,0.008302,0.008149,0
9,0.007931,0.007629,1
10,0.007594,0.010777,0
11,0.008153,0.007884,0
12,0.007917,0.007682,0
13,0.007803,0.007965,0
14,0.007662,0.007529,1
15,0.007490,0.007629,0
16,0.007591,0.008839,0
17,0.007655,0.007562,0
18,0.007770,0.007564,0
19,0.007500,0.007572,0
20,0.007564,0.007562,0
21,0.007620,0.007657,0
22,0.007483,0.007608,0
23,0.007427,0.007652,0
24,0.007540,0.008192,0
25,0.007821,0.007529,0
26,0.007931,0.011053,0
27,0.007831,0.008506,0
28,0.007710,0.007550,0
29,0.007645,0.007924,0
30,0.007667,0.007778,0
31,0.007556,0.007611,0
32,0.007555,0.008664,0
33,0.007412,0.007609,0
34,0.007418,0.007522,1
35,0.007485,0.007609,0
36,0.007448,0.008129,0
37,0.007485,0.007517,1
38,0.007387,0.007470,1
39,2.444301,0.138849,0
40,0.642025,0.064531,0
41,0.042396,0.024246,0
42,0.021003,0.020916,0
43,0.016770,0.015227,0
44,0.011167,0.012456,0
45,0.009133,0.010032,0
46,0.008012,0.007955,0
47,0.008220,0.009952,0
48,0.008362,0.008057,0
49,0.007837,0.008170,0
50,0.007764,0.008182,0
