Record,Target_SNR,Method,Input_SNR,Output_SNR,SNR_Imp,RMSE
100,0,wt_only,1.8728203727891008e-11,-0.011058145385125406,-0.011058145403853609,34.08798620946447
100,0,improved_dae,1.8728203727891008e-11,-0.46892371749823386,-0.46892371751696205,35.93309487624798
100,0,our_algorithm,1.8728203727891008e-11,6.624432954720491,6.624432954701763,15.879133154020415
100,5,wt_only,5.000000000018731,4.956769643212562,-0.043230356806168935,19.240216564229573
100,5,improved_dae,5.000000000018731,3.53148784882652,-1.4685121511922108,22.67117586094544
100,5,our_algorithm,5.000000000018731,6.538671350376348,1.5386713503576175,16.036695045067898
100,10,wt_only,10.000000000018725,9.85709441746015,-0.14290558255857455,10.944444351076092
100,10,improved_dae,10.000000000018725,6.347082309182088,-3.6529176908366363,16.394354539122634
100,10,our_algorithm,10.000000000018725,6.545253307770546,-3.454746692248179,16.024547428032783
100,15,wt_only,15.00000000001873,14.557543112079225,-0.442456887939505,6.370467180165169
100,15,improved_dae,15.00000000001873,7.827002745231058,-7.1729972547876715,13.82605566195568
100,15,our_algorithm,15.00000000001873,6.536741367699048,-8.463258632319683,16.040258753996845
101,0,wt_only,1.8730132382824104e-11,-0.009809871967353728,-0.00980987198608386,39.876432240986226
101,0,improved_dae,1.8730132382824104e-11,-0.30051528235817393,-0.30051528237690406,41.23362960496116
101,0,our_algorithm,1.8730132382824104e-11,4.341001918252123,4.341001918233393,24.164382710616778
101,5,wt_only,5.000000000018728,4.962663233333481,-0.03733676668524755,22.495344042445332
101,5,improved_dae,5.000000000018728,4.005325470672531,-0.9946745293461969,25.116523577650515
101,5,our_algorithm,5.000000000018728,4.358403368319955,-0.6415966316987731,24.116019861868903
101,10,wt_only,10.00000000001873,9.876620195661799,-0.12337980435693119,12.77599671636335
101,10,improved_dae,10.00000000001873,7.317112057078416,-2.6828879429403143,17.154189305613425
101,10,our_algorithm,10.00000000001873,4.366159492680934,-5.633840507337796,24.094494909399582
101,15,wt_only,15.000000000018726,14.616212701049893,-0.38378729896883357,7.403126429121601
101,15,improved_dae,15.000000000018726,9.267855203044595,-5.732144796974131,13.703548498073017
101,15,our_algorithm,15.000000000018726,4.369381701735064,-10.630618298283663,24.085558219658548
103,0,wt_only,1.8729168055357557e-11,-0.0029402961107216985,-0.0029402961294508665,61.61652086496131
103,0,improved_dae,1.8729168055357557e-11,-0.262447826611621,-0.2624478266303502,63.48520832522364
103,0,our_algorithm,1.8729168055357557e-11,4.678917450544418,4.678917450525689,35.9421692722302
103,5,wt_only,5.000000000018731,4.984748309049531,-0.015251690969200205,34.69866310246876
103,5,improved_dae,5.000000000018731,4.034757157753083,-0.9652428422656474,38.70903100356001
